,fluxes,reduced_costs
CYTDK2,0.0,2.2737367544323206e-13
XPPT,0.0,48.62222222222179
HXPRT_num1,0.0,48.62222222222179
NDPK5_num1,0.0,2.0
SHK3Dr,0.3314868795585989,-2.0000000000000053
NDPK6_num1,0.0,2.0
NDPK8_num1,0.0,2.0
DHORTS,0.0,2.0000000000000107
OMPDC,0.28771644112098005,-2.0000000000000053
PYNP2r,0.0,1.9999999999999876
G5SD,0.19226759138438684,-1.999999999999977
CS,6.647063646580391,-1.9999999999999094
ICDHyr,6.647063646580391,-2.0
ALATA_L2_num1,0.0,17.11111111111103
DURIPP_num1,0.0,1.9999999999999307
ACALD_num1,0.0,1.9999999999999538
PTRCTA,0.0,-2.0
ACS,0.0,20.311111111110996
CYSDS_num1,0.0,55.999999999999545
MAN6PI,0.0,-2.0
PPA_num1,2.7360290139052177,-2.0
APRAUR,0.00038791859834627813,-2.0000000000000906
TRPAS2,0.0,2.0
PPCK,0.0,22.311111111111018
ME1,0.0,20.311111111110904
DB4PS,0.0007758371966925563,-1.9999999999999947
ALAR_num1,0.036253863265178404,-2.0
RBFK,0.000193959299173139,-2.00000000000008
ALATA_L_num1,0.0,2.0
XYLK_num1,0.0,-1.9999999999999662
RBK,0.0,-1.9999999999999662
GLYK,0.0,4.0000000000000675
PPM,0.0,2.0
ASPTA_num1,0.0,2.0
ACP1_FMN_num1,0.0,22.31111111111109
RBFSb,0.00038791859834627813,-2.0
NDP3_num1,0.0,22.311111111111018
CDPPH,0.0,22.311111111111018
NDP7,0.0,22.311111111110915
FBP_num1,0.0,22.311111111110918
EX_pi_e,0.0,2.0
GLGC,0.0,26.311111111111043
ALATA_D2_num1,0.0,19.11111111111103
PYK_num1,0.0,-6.750155989720952e-14
SHCHD2,0.00019395929917313912,-2.000000000000137
EX_co2_e,24.299828780103088,-2.0
A5PISO_num1,0.03384459304674973,-2.0
PMDPHT_num1,0.00038791859834627813,-2.000000000000022
CPPPGO,0.00019395929917313912,-1.9999999999999538
EX_met__L_e,0.0,578.955555555551
GTHOr,0.0,-1.999999999999977
ILETA,0.0,2.0
DHORD5,0.0,-1.9999999999997726
EX_metsox_S__L_e,0.0,542.533333333329
GLYCTO2,0.0003879185972880068,-2.0
VALTA,0.0,2.0
GLYCTO3,0.0,-2.0
IPPMIb,0.0,2.0
GLYCTO4,0.0,-1.9999999999999574
ORPT,0.0,2.0000000000000213
RBFSa,0.0007758371966925563,-1.999999999999937
ACHBS_num1,0.25269417591691895,-2.0000000000000053
PFK_3,0.980435741535894,-1.9999999999999662
DHAD2,0.25269417591691895,-2.0
ACLS_num1,0.7605004956956061,-2.0000000000000053
TRPS2,0.0,25.68888888888887
PSCVT,0.3314868795585989,-1.9999999999999938
G3PD5_num1,0.0,17.111111111111143
G1PP_num1,0.0,20.311111111110918
PFL_num1,0.0,5.866666666666333
EX_acgam_e,0.0,472.4666666666614
ANS,0.04944048629102577,-1.9999999999999947
FRD2,0.0,2.0
FRD3,0.0,2.0
ANPRT,0.04944048629102577,-2.000000000000039
POX,0.0,34.04444444444398
CHORM_num1,0.2812705560708808,-2.0
PTAr_num1,0.0,2.0000000000000444
CHORS,0.3314868795585989,-1.9999999999999938
IGPS,0.04944048629102577,-1.999999999999977
ACKr_num1,0.5063694553740501,-1.9999999999999432
EX_cellb_e,0.0,458.1333333333263
EX_crn_e,0.0,-2.0
EX_hxan_e,0.0,446.42222222221864
EX_ile__L_e,0.0,405.39999999999543
EX_chol_e,0.0,19.73333333333276
EX_fe3_e,0.0,-2.0
LEUTAi_num1,0.39185953818732533,-2.0
EX_lac__L_e,0.0,92.48888888888732
EX_leu__L_e,0.0,320.28888888888497
EX_glcn_e,0.0,219.7555555555521
EX_no3_e,0.0,26.177777777777628
EX_h_e,7.9918180742744305,-2.0
DMATT,0.00024179679448489946,-2.0000000000000107
EX_orn_e,0.0,319.0888888888852
GRTT,0.00024179679448489946,-2.0000000000000107
EX_gln__L_e,0.0,228.77777777777493
UPP3S,0.00038791859834627824,-2.0
EX_pro__L_e,0.0,290.7777777777744
EX_glyc_e,0.0,140.95555555555364
UPPDC1,0.00019395929917313912,-1.9999999999999076
EX_man_e,0.0,225.06666666666314
TMDPP,0.0,-2.000000000000006
EX_ade_e,0.0,467.7999999999968
EX_mn2_e,0.0,2.0
EX_4abut_e,0.0,200.68888888888637
EX_ac_e,0.0,49.82222222222144
EX_akg_e,0.0,173.7777777777752
EX_ala__L_e,0.0,138.1777777777761
EX_arg__L_e,0.0,436.5555555555514
EX_asp__L_e,0.0,155.0666666666648
EX_pyr_e,0.0,87.17777777777637
EX_succ_e,0.0,142.9999999999979
EX_thymd_e,0.0,594.3333333333267
EX_rib__D_e,0.0,165.91111111110834
EX_tyr__L_e,0.0,500.77777777777175
EX_cytd_e,0.0,501.5333333333276
EX_dcyt_e,0.0,560.8888888888827
MOAT,0.016922296523374864,-1.9999999999990905
EX_fum_e,0.0,141.68888888888694
EX_sbt__D_e,0.0,244.11111111110716
EX_glu__L_e,0.0,214.1999999999972
UDCPDPS,4.7837495311760326e-05,-2.0000000000000853
ECOAH6_num1,0.0,2.0
USHD,0.016922296523374864,-2.000000000000046
EX_gua_e,0.0,464.2666666666632
ENO,15.26140496370892,-2.0
FBA_num1,5.144443624228156,-2.0
HCO3E_num1,2.4885378179329334,-2.0
MGSA,0.0,34.62222222222209
IMPC,0.0,2.0
IMPD,0.21155306017616254,-2.000000000000023
PPS,0.0,22.31111111111104
ECOAH4_num1,0.0,-2.0
LPADSS,0.016922296523374864,-1.9999999999999662
GLUTRS,0.003103348786770226,-1.9999999999999538
TDSK,0.016922296523374864,-2.00000000000008
PGI,6.543762147901665,-2.0
TMPPP,0.00019395929917313912,-1.9999999999999876
EX_btn_e,0.0,2685.777777777753
PGK,0.0,2.0000000000001137
EX_ptrc_e,0.0,320.5111111111075
EDA,0.0,6.933333333333309
EX_spmd_e,0.0,0.0
EX_thym_e,0.0,-2.0
EX_xtsn_e,0.0,629.333333333327
NTPP1_num1,0.0,38.62222222222185
URIK1,0.0,20.31111111111097
URIK2,0.0,22.311111111111018
NTPP2_num1,0.0,46.622222222222035
PGL,3.4562378520983343,-1.9999999999999947
NTPTP1,0.0,14.311111111110904
NTPTP2,0.0,36.622222222222035
CYTDK1,0.0,-2.0
RPE,1.6293846035142472,-2.0
DHQTi,0.3314868795585989,-2.0
IPMD_num1,0.39185953818732533,-2.000000000000023
AIRC3,0.0,2.0
TALA_num1,0.0,0.0
PUNP1,0.0,1.9999999999999307
PUNP2,0.0,2.0000000000000444
PUNP3_num1,0.0,1.9999999999999876
ADSL2r,0.3894789704661089,-2.0
TKT1_num1,0.980435741535894,-2.0
EX_fe2_e,0.0,2.0
PUNP5_num1,0.0,-2.0
PUNP6_num1,0.0,-2.0
PUNP7,0.0,-2.0
G6PDA,0.0,24.311111111110904
RNDR1_num1,0.0,1.377777777777851
ALCD2x_num1,0.0,1.9999999999999538
RNDR3_num1,0.0,-0.622222222222149
RNDR4_num1,0.0,-0.6222222222223763
ALDD2y_num1,0.0,22.933333333332847
TMDS,0.022758470951409676,-2.0
RMI,0.0,-2.0
TMDK1,0.0,-2.000000000000023
LYSAM,0.0,-2.0
PPCDC,0.0005862267607296326,-1.999999999999977
FTHFD,0.0,20.311111111110858
EX_glc__D_e,0.0,225.06666666666314
DHAD1,0.7605004956956061,-2.0
IPPMIa,0.0,2.0
EX_alltn_e,0.0,102.13333333333244
G3PD7,0.0,17.111111111111086
EDD,0.0,-2.0000000000000284
EX_ura_e,0.0,236.11111111110876
NADH9_num1,0.0,11.733333333333167
EX_val__L_e,0.0,253.1999999999967
NADH10_num1,0.0,11.733333333333167
ADK4,0.0,-2.0
INSK,0.0,22.311111111111085
MDH,6.619270931575893,-2.000000000000023
ABTA_num1,0.0,-2.0
EX_xan_e,0.0,415.3777777777746
FUM_num1,6.618883012978605,-2.0
FMNAT,0.000193959299173139,-1.9999999999999307
PYDXNK,0.0,-1.9999999999999662
PYAM5PO,0.0,-2.0
SSALx,0.0,1.3777777777778724
ASPT,0.0,11.377777777777851
OHPBAT,-1.0581049537784578e-12,-2.0
SERD_L_num1,0.0,27.68888888888887
EX_dgsn_e,0.0,731.5777777777708
NADDP_num1,0.0,-2.000000000000046
EX_arab__L_e,0.0,177.64444444444155
EX_fru_e,0.0,227.06666666666314
THRD_num1,0.0,77.24444444444403
HEX4,0.0,-1.9999999999999662
EX_gal_e,0.0,216.4888888888854
NMNAT_num1,0.0,46.62222222222195
EX_xyl__D_e,0.0,179.64444444444155
KARA1,0.0,1.9999999999999538
HMPK1_num1,0.0,-1.9999999999999662
