,fluxes,kcat,MW,kcat_MW,equ
CYTDK2,0.0,9559.0893528,32.1649169463,297.1899280436228,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.068236408513518,10439.9018712,89.6572410952,116.4423725699376,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT_num1,0.0,17665.8458472,89.6572410952,197.0375803605424,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5_num1,0.0,9864.9134928,31.151751978,316.67283110647526,atp_c + dgdp_c --> adp_c + dgtp_c
SHK3Dr,0.10692104435452934,46104.63948,38.8486887128,1186.7746636403017,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
NDPK6_num1,0.0073407414654756515,9855.5755464,31.151751978,316.37307440558106,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,15171.8703768,31.151751978,487.0310468417534,atp_c + dadp_c --> adp_c + datp_c
DHORTS,0.0,37265.833836,102.5643631604,363.34095671924666,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.09280289585997167,86400.0,69.6053974865,1241.2830487284743,h_c + orot5p_c --> co2_c + ump_c
PYNP2r,0.0,44972.730108,215.2259038285,208.9559356379144,pi_c + uri_c --> r1p_c + ura_c
G5SD,0.06201588338495453,50400.0,235.7846601146,213.7543637296156,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
CS,0.30163978054527607,104400.0,380.5013614927,274.37483952866995,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,0.30163978054527607,39600.0,120.8684278582,327.6289822058229,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ALATA_L2_num1,0.0,22488.0471504,192.8048576124,116.63631004364127,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
DURIPP_num1,0.0,31920.232392,124.6997261766,255.97676410928528,duri_c + pi_c --> 2dr1p_c + ura_c
ACALD_num1,0.0,347838.28218,44.1699510525,7874.998135419317,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
PTRCTA,0.0,36125.794296,131.1827404471,275.3852692273027,akg_c + ptrc_c --> 4abutn_c + glu__L_c
ACS,0.0,32028.8113296,95.2192803528,336.3689707686199,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
CYSDS_num1,0.0,13182.3780156,228.2949526635,57.74274841297273,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
MAN6PI,0.0,39462.133968,56.59512305,697.2709279761872,man6p_c --> f6p_c
PPA_num1,0.0,303342.672204,153.5687861787,1975.288597065656,h2o_c + ppi_c --> h_c + 2.0 pi_c
APRAUR,0.00012512308696790265,1152.0,106.55547501179998,10.81126990304747,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
TRPAS2,0.0,23909.431644,278.8069915074,85.7562126212513,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
PPCK,0.0,97061.545872,78.77552442550001,1232.1282096165992,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,60940.100376,333.8772821289,182.5224525233581,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
DB4PS,0.0002502461739358053,1224.0,61.68921243369999,19.841394495277186,ru5p__D_c --> db4p_c + for_c + h_c
ALAR_num1,0.011693678275776049,113967.72324,102.6097977516,1110.69045780497,ala__L_c --> ala__D_c
RBFK,6.256154348395132e-05,324.0,45.8761256139,7.062497010467494,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ALATA_L_num1,0.0,63159.7104,120.2361738231,525.2970748464189,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,24801.4977948,161.3704602124,153.69292348894356,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.068236408513518,59351.153832,85.296841113,695.818896193031,atp_c + rib__D_c --> adp_c + h_c + r5p_c
