,fluxes,reduced_costs
CYTDK2,0.0,-16.839442237933326
XPPT,0.08460793047783938,-571.3449539306141
HXPRT_num1,0.0,1960.3668177401164
NDPK5_num1,0.0,-154.9905084678703
SHK3Dr,0.13257392181732228,-57.862228338317976
NDPK6_num1,0.009101958281460787,-211.54968235196066
NDPK8_num1,0.0,424.6045517773782
DHORTS,0.0,739.9843095603019
OMPDC,0.11506849689351913,-55.40915378995439
PYNP2r,0.0,1463.9810393343962
G5SD,0.07689495482337058,-312.14981911790073
CS,0.37401027014294835,-5.336729041458085
ICDHyr,0.37401027014294835,-204.35046606699325
ALATA_L2_num1,0.0,-139.39947795841522
DURIPP_num1,0.0,297.50612303695175
ACALD_num1,0.0,51.46296938698464
PTRCTA,0.0,-242.73864746803872
ACS,0.0,497.65067778225193
CYSDS_num1,0.0,2927.173915348837
MAN6PI,0.0,-97.07907842769927
PPA_num1,0.0,16.032683026421687
APRAUR,0.00015514306327033217,-6134.108238988202
TRPAS2,0.0,2828.8242081323715
PPCK,0.0,650.137868291984
ME1,0.0,897.5678317913571
DB4PS,0.00031028612654066434,-3343.29122134953
ALAR_num1,0.01449926718213898,-61.68888701665941
RBFK,7.757153163516609e-05,-9389.030840245325
ALATA_L_num1,0.0,454.42477445392797
XYLK_num1,0.0,1739.741877303286
RBK,0.08460793047783938,-97.27748902641363
GLYK,0.0,395.1296235103282
PPM,0.0,266.0971983557863
ASPTA_num1,0.0,751.825404024217
ACP1_FMN_num1,0.0,19064.67591889467
RBFSb,0.00015514306327033217,-57026.38206954859
NDP3_num1,0.0,276.70671744709944
CDPPH,0.0,334.729363122437
NDP7,0.0,372.21132067541606
FBP_num1,0.0,210.55764259463456
EX_pi_e,0.0,2.0
GLGC,0.0,2009.7325627683526
ALATA_D2_num1,0.0,266.8675432020682
PYK_num1,0.0,211.81838533644083
SHCHD2,7.757153163516609e-05,-7148.788774853977
EX_co2_e,9.099697302554796,-2.0
A5PISO_num1,0.0,-209.23076742020461
PMDPHT_num1,0.0,-224.30976798357847
CPPPGO,7.757153163516609e-05,-6680.562611875101
EX_met__L_e,0.0,28246.60566520988
GTHOr,0.009101958281460787,-331.7561121384524
ILETA,0.0,2439.0730950301504
DHORD5,0.0,170.97644052692908
EX_metsox_S__L_e,0.0,27061.340407126845
GLYCTO2,0.00015514306327034285,-240.10276805580293
VALTA,0.0,2612.1184427248145
GLYCTO3,0.0,-88.50904185918199
IPPMIb,0.0,377.32483291618246
GLYCTO4,0.0,-104.67296961947665
ORPT,0.0,810.1339260743134
RBFSa,0.00031028612654066434,-2357823.95484003
ACHBS_num1,0.10106179154454335,-188.82590089422163
PFK_3,0.0,504.0441981517761
DHAD2,0.10106179154454335,-24.93389600867522
ACLS_num1,0.0,-47.11498023941276
