id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
CYTDK2,Cytidine kinase (GTP),"OrderedDict([('cmp_c', 1.0), ('cytd_c', -1.0), ('gdp_c', 1.0), ('gtp_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b2066,"OrderedDict([('bigg.reaction', 'CYTDK2'), ('biocyc', 'META:CYTIDINEKIN-RXN'), ('ec-code', ['2.7.1.48', '2.7.1.213']), ('kegg.reaction', 'R00517'), ('metanetx.reaction', 'MNXR97042'), ('rhea', ['28165', '28164', '28162', '28163']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00369')])",,
XPPT,Xanthine phosphoribosyltransferase,"OrderedDict([('ppi_c', 1.0), ('prpp_c', -1.0), ('xan_c', -1.0), ('xmp_c', 1.0)])",0.0,1000.0,b0238,"OrderedDict([('bigg.reaction', 'XPPT'), ('biocyc', 'META:XANPRIBOSYLTRAN-RXN'), ('ec-code', ['2.4.2.8', '2.4.2.22']), ('kegg.reaction', 'R02142'), ('metanetx.reaction', 'MNXR105243'), ('rhea', ['10800', '10803', '10802', '10801']), ('sabiork', '194'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01544')])",,
HXPRT_num1,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),"OrderedDict([('hxan_c', -1.0), ('imp_c', 1.0), ('ppi_c', 1.0), ('prpp_c', -1.0)])",0.0,1000.0,b0238,"OrderedDict([('bigg.reaction', 'HXPRT'), ('biocyc', 'META:HYPOXANPRIBOSYLTRAN-RXN'), ('ec-code', '2.4.2.8'), ('kegg.reaction', 'R01132'), ('metanetx.reaction', 'MNXR100752'), ('rhea', ['17976', '17974', '17973', '17975']), ('sabiork', '81'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00836')])",,
NDPK5_num1,Nucleoside-diphosphate kinase (ATP:dGDP),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dgdp_c', -1.0), ('dgtp_c', 1.0)])",0.0,1000.0,b0474,"OrderedDict([('bigg.reaction', 'NDPK5'), ('biocyc', 'META:DGDPKIN-RXN'), ('ec-code', '2.7.4.6'), ('kegg.reaction', 'R01857'), ('metanetx.reaction', 'MNXR96118'), ('rhea', ['27692', '27690', '27691', '27693']), ('sabiork', '183'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01353')])","OrderedDict([('reflection', 'NDPK5_reverse')])",
SHK3Dr,Shikimate dehydrogenase,"OrderedDict([('3dhsk_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('skm_c', 1.0)])",0.0,1000.0,b3281,"OrderedDict([('bigg.reaction', 'SHK3Dr'), ('biocyc', 'META:SHIKIMATE-5-DEHYDROGENASE-RXN'), ('ec-code', ['1.1.1.25', '1.1.1.282']), ('kegg.reaction', 'R02413'), ('metanetx.reaction', 'MNXR104378'), ('reactome.reaction', 'R-MTU-964842'), ('rhea', ['17739', '17738', '17737', '17740']), ('sabiork', '2351'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01740')])",,
NDPK6_num1,Nucleoside-diphosphate kinase (ATP:dUDP),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dudp_c', -1.0), ('dutp_c', 1.0)])",0.0,1000.0,b0474,"OrderedDict([('bigg.reaction', 'NDPK6'), ('biocyc', 'META:DUDPKIN-RXN'), ('ec-code', '2.7.4.6'), ('kegg.reaction', 'R02331'), ('metanetx.reaction', 'MNXR101938'), ('rhea', ['28584', '28583', '28582', '28585']), ('sabiork', '421'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01678')])","OrderedDict([('reflection', 'NDPK6_reverse')])",
NDPK8_num1,Nucleoside-diphosphate kinase (ATP:dADP),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dadp_c', -1.0), ('datp_c', 1.0)])",0.0,1000.0,b0474,"OrderedDict([('bigg.reaction', 'NDPK8'), ('biocyc', 'META:DADPKIN-RXN'), ('ec-code', '2.7.4.6'), ('kegg.reaction', 'R01137'), ('metanetx.reaction', 'MNXR101940'), ('rhea', ['27675', '27674', '27677', '27676']), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00839')])","OrderedDict([('reflection', 'NDPK8_reverse')])",
DHORTS,Dihydroorotase,"OrderedDict([('cbasp_c', 1.0), ('dhor__S_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b1062,"OrderedDict([('bigg.reaction', 'DHORTS'), ('biocyc', 'META:DIHYDROOROT-RXN'), ('ec-code', '3.5.2.3'), ('kegg.reaction', 'R01993'), ('metanetx.reaction', 'MNXR97428'), ('reactome.reaction', ['R-CFA-73571', 'R-BTA-73571', 'R-SCE-73571', 'R-MMU-73571', 'R-GGA-73571', 'R-CEL-73571', 'R-OSA-73571', 'R-SPO-73571', 'R-TGU-73571', 'R-SSC-73571', 'R-RNO-73571', 'R-GGA-419465', 'R-HSA-73571', 'R-DDI-73571', 'R-DRE-73571', 'R-XTR-73571', 'R-DME-73571', 'R-ATH-73571', 'R-PFA-73571']), ('rhea', ['24296', '24298', '24299', '24297']), ('sabiork', '399'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01465')])","OrderedDict([('reflection', 'DHORTS_reverse')])",
OMPDC,Orotidine-5'-phosphate decarboxylase,"OrderedDict([('co2_c', 1.0), ('h_c', -1.0), ('orot5p_c', -1.0), ('ump_c', 1.0)])",0.0,1000.0,b1281,"OrderedDict([('bigg.reaction', 'OMPDC'), ('biocyc', 'META:OROTPDECARB-RXN'), ('ec-code', '4.1.1.23'), ('kegg.reaction', 'R00965'), ('metanetx.reaction', 'MNXR102190'), ('reactome.reaction', ['R-TGU-73564', 'R-GGA-419461', 'R-SSC-73564', 'R-HSA-73564', 'R-SPO-73564', 'R-DRE-73564', 'R-DDI-73564', 'R-GGA-73564', 'R-CFA-73564', 'R-PFA-73564', 'R-ATH-73564', 'R-OSA-73564', 'R-BTA-73564', 'R-RNO-73564', 'R-MMU-73564', 'R-SCE-73564', 'R-CEL-73564', 'R-DME-73564', 'R-XTR-73564']), ('rhea', ['11597', '11599', '11596', '11598']), ('sabiork', '463'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00710')])",,
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),"OrderedDict([('pi_c', -1.0), ('r1p_c', 1.0), ('ura_c', 1.0), ('uri_c', -1.0)])",0.0,1000.0,b3831,"OrderedDict([('bigg.reaction', 'PYNP2r'), ('biocyc', 'META:URPHOS-RXN'), ('ec-code', ['2.4.2.3', '2.4.2.2']), ('kegg.reaction', 'R01876'), ('metanetx.reaction', 'MNXR103377'), ('rhea', ['24391', '24388', '24390', '24389']), ('sabiork', '204'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn01366')])","OrderedDict([('reflection', 'PYNP2r_reverse')])",
G5SD,Glutamate-5-semialdehyde dehydrogenase,"OrderedDict([('glu5p_c', -1.0), ('glu5sa_c', 1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b0243,"OrderedDict([('bigg.reaction', 'G5SD'), ('biocyc', 'META:GLUTSEMIALDEHYDROG-RXN'), ('ec-code', '1.2.1.41'), ('kegg.reaction', 'R03313'), ('metanetx.reaction', 'MNXR99896'), ('rhea', ['19541', '19543', '19544', '19542']), ('sabiork', '3127'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn02373')])",,
CS,Citrate synthase,"OrderedDict([('accoa_c', -1.0), ('cit_c', 1.0), ('coa_c', 1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('oaa_c', -1.0)])",0.0,1000.0,b0720,"OrderedDict([('bigg.reaction', 'CS'), ('biocyc', ['META:CITSYN-RXN', 'META:RXN-14905']), ('ec-code', ['2.3.3.16', '2.3.3.1', '2.3.3.3']), ('kegg.reaction', 'R00351'), ('metanetx.reaction', 'MNXR96920'), ('reactome.reaction', ['R-GGA-373006', 'R-GGA-70975', 'R-CEL-70975', 'R-HSA-70975', 'R-DRE-70975', 'R-MMU-70975', 'R-ATH-70975', 'R-SPO-70975', 'R-OSA-70975', 'R-SCE-70975', 'R-SSC-70975', 'R-DDI-70975', 'R-RNO-70975', 'R-DME-70975', 'R-PFA-70975', 'R-XTR-70975', 'R-CFA-70975', 'R-BTA-70975']), ('rhea', ['16847', '16846', '16845', '16848']), ('sabiork', '267'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00256')])",,
ICDHyr,Isocitrate dehydrogenase (NADP),"OrderedDict([('akg_c', 1.0), ('co2_c', 1.0), ('icit_c', -1.0), ('nadp_c', -1.0), ('nadph_c', 1.0)])",0.0,1000.0,b1136,"OrderedDict([('bigg.reaction', 'ICDHyr'), ('ec-code', '1.1.1.42'), ('kegg.reaction', 'R00267'), ('metanetx.reaction', 'MNXR100781'), ('rhea', ['19629', '19630', '19631', '19632']), ('sabiork', '269'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn00198')])","OrderedDict([('reflection', 'ICDHyr_reverse')])",
ALATA_L2_num1,Alanine transaminase,"OrderedDict([('ala__L_c', -1.0), ('pyam5p_c', 1.0), ('pydx5p_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b0870,"OrderedDict([('bigg.reaction', 'ALATA_L2'), ('metanetx.reaction', 'MNXR95699'), ('rhea', ['30025', '30026', '30024', '30023']), ('sabiork', '10879'), ('sbo', 'SBO:0000176'), ('seed.reaction', 'rxn08103')])",,
