id,name,annotation
b2551,glyA,"OrderedDict([('asap', 'ABE-0008389'), ('ecogene', 'EG10408'), ('ncbigene', '947022'), ('ncbigi', '16130476'), ('refseq_locus_tag', 'b2551'), ('refseq_name', 'glyA'), ('refseq_synonym', ['ECK2548', 'JW2535']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0A825')])"
b0870,ltaE,"OrderedDict([('asap', 'ABE-0002954'), ('ecogene', 'EG13690'), ('ncbigene', '944955'), ('ncbigi', '16128838'), ('refseq_locus_tag', 'b0870'), ('refseq_name', 'ltaE'), ('refseq_synonym', ['ltaA', 'JW0854', 'ECK0861', 'ybjU']), ('sbo', 'SBO:0000243'), ('uniprot', 'P75823')])"
b3368,cysG,"OrderedDict([('asap', 'ABE-0011010'), ('ecogene', 'EG10188'), ('ncbigene', '947880'), ('ncbigi', '16131246'), ('refseq_locus_tag', 'b3368'), ('refseq_name', 'cysG'), ('refseq_synonym', ['JW3331', 'ECK3356']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0AEA8')])"
b2436,hemF,"OrderedDict([('asap', 'ABE-0008034'), ('ecogene', 'EG12189'), ('ncbigene', '946908'), ('ncbigi', '16130361'), ('refseq_locus_tag', 'b2436'), ('refseq_name', 'hemF'), ('refseq_synonym', ['JW2429', 'ECK2431', 'sec', 'popB']), ('sbo', 'SBO:0000243'), ('uniprot', 'P36553')])"
b0008,talB,"OrderedDict([('asap', 'ABE-0000027'), ('ecogene', 'EG11556'), ('ncbigene', '944748'), ('ncbigi', '16128002'), ('refseq_locus_tag', 'b0008'), ('refseq_name', 'talB'), ('refseq_synonym', ['yaaK', 'JW0007', 'ECK0008']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0A870')])"
b3500,gor,"OrderedDict([('asap', 'ABE-0011432'), ('ecogene', 'EG10412'), ('ncbigene', '948014'), ('ncbigi', '16131372'), ('refseq_locus_tag', 'b3500'), ('refseq_name', 'gor'), ('refseq_synonym', ['ECK3485', 'gorA', 'JW3467']), ('sbo', 'SBO:0000243'), ('uniprot', 'P06715')])"
b2465,tktB,"OrderedDict([('asap', 'ABE-0008117'), ('ecogene', 'EG12100'), ('ncbigene', '945865'), ('ncbigi', '16130390'), ('refseq_locus_tag', 'b2465'), ('refseq_name', 'tktB'), ('refseq_synonym', ['JW2449', 'ECK2460']), ('sbo', 'SBO:0000243'), ('uniprot', 'P33570')])"
b0945,pyrD,"OrderedDict([('asap', 'ABE-0003201'), ('ecogene', 'EG10807'), ('ncbigene', '945556'), ('ncbigi', '16128912'), ('refseq_locus_tag', 'b0945'), ('refseq_name', 'pyrD'), ('refseq_synonym', ['JW0928', 'ECK0936']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0A7E1')])"
b4467,glcF,"OrderedDict([('asap', 'ABE-0174097'), ('ecogene', 'EG13291'), ('ncbigene', '2847717'), ('ncbigi', '49176294'), ('refseq_locus_tag', 'b4467'), ('refseq_name', 'glcF'), ('refseq_synonym', ['ECK2972', 'yghL', 'gox', 'JW5486']), ('sbo', 'SBO:0000243'), ('uniprot', 'P52074')])"
b3126,garL,"OrderedDict([('asap', 'ABE-0010276'), ('ecogene', 'EG10016'), ('ncbigene', '947630'), ('ncbigi', '16131018'), ('refseq_locus_tag', 'b3126'), ('refseq_name', 'garL'), ('refseq_synonym', ['ECK3114', 'JW3095', 'yhaF']), ('sbo', 'SBO:0000243'), ('uniprot', 'P23522')])"
b4468,glcE,"OrderedDict([('asap', 'ABE-0174098'), ('ecogene', 'EG12996'), ('ncbigene', '2847718'), ('ncbigi', '49176295'), ('refseq_locus_tag', 'b4468'), ('refseq_name', 'glcE'), ('refseq_synonym', ['ECK2973', 'yghL', 'gox', 'JW5487']), ('sbo', 'SBO:0000243'), ('uniprot', 'P52073')])"
b2979,glcD,"OrderedDict([('asap', 'ABE-0009773'), ('ecogene', 'EG12997'), ('ncbigene', '947353'), ('ncbigi', '16130879'), ('refseq_locus_tag', 'b2979'), ('refseq_name', 'glcD'), ('refseq_synonym', ['yghM', 'ECK2974', 'gox', 'JW2946']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0AEP9')])"
b3916,pfkA,"OrderedDict([('asap', 'ABE-0012789'), ('ecogene', 'EG10699'), ('ncbigene', '948412'), ('ncbigi', '16131754'), ('refseq_locus_tag', 'b3916'), ('refseq_name', 'pfkA'), ('refseq_synonym', ['JW3887', 'ECK3908']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0A796')])"
b1095,fabF,"OrderedDict([('asap', 'ABE-0003705'), ('ecogene', 'EG12606'), ('ncbigene', '946665'), ('ncbigi', '16129058'), ('refseq_locus_tag', 'b1095'), ('refseq_name', 'fabF'), ('refseq_synonym', ['ECK1081', 'JW1081', 'vtr', 'cvc', 'fabJ']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0AAI5')])"
b1054,lpxL,"OrderedDict([('asap', 'ABE-0003574'), ('ecogene', 'EG10464'), ('ncbigene', '946216'), ('ncbigi', '16129017'), ('refseq_locus_tag', 'b1054'), ('refseq_name', 'lpxL'), ('refseq_synonym', ['htrB', 'JW1041', 'ECK1039', 'waaM']), ('sbo', 'SBO:0000243'), ('uniprot', 'P0ACV0')])"
b1855,lpxM,"OrderedDict([('asap', 'ABE-0006185'), ('ecogene', 'EG10614'), ('ncbigene', '945143'), ('ncbigi', '16129808'), ('refseq_locus_tag', 'b1855'), ('refseq_name', 'lpxM'), ('refseq_synonym', ['mlt', 'waaN', 'msbB', 'ECK1856', 'JW1844']), ('sbo', 'SBO:0000243'), ('uniprot', 'P24205')])"
