,MW,type
ALATA_D2_num1,119.7058834636,proteozyme
ALATA_D2_num2,192.8048576124,proteozyme
SHCHD2,131.9489208644,proteozyme
CPPPGO,90.66485881690001,proteozyme
GTHOr,128.834802285,proteozyme
DHORD5,48.5707666885,proteozyme
GLYCTO2,181.3194156044,proteozyme
GLYCTO3,181.3194156044,proteozyme
GLYCTO4,181.3194156044,proteozyme
PFK_3,184.0737556186,proteozyme
TRPS2,189.4177352539,proteozyme
G3PD5_num1,196.0337513655,proteozyme
G3PD5_num2,149.90918835029998,proteozyme
LEUTAi_num1,270.1798343487,proteozyme
LEUTAi_num2,115.00710143879999,proteozyme
SHK3Dr,38.8486887128,proteozyme
SHK3Dr_reverse,82.4896701788,proteozyme
G5SD,235.78466011459997,proteozyme
ALATA_L2_num1,192.8048576124,proteozyme
ALATA_L2_num2,119.7058834636,proteozyme
MAN6PI,56.59512305,proteozyme
APRAUR,106.55547501179998,proteozyme
DB4PS,61.68921243369999,proteozyme
RBFK,45.876125613899994,proteozyme
ACP1_FMN_num1,40.1130647057,proteozyme
ACP1_FMN_num2,35.8217411514,proteozyme
ACP1_FMN_num3,39.8823256626,proteozyme
RBFSb,92.8961727231,proteozyme
DMATT,42.4755313708,proteozyme
GRTT,42.4755313708,proteozyme
UPP3S,36.7147157767,proteozyme
UPPDC1,51.8378307813,proteozyme
TMDPP,124.6997261766,proteozyme
HCO3E_num1,132.5885712283,proteozyme
HCO3E_num2,62.7743595305,proteozyme
IMPC,75.7188594716,proteozyme
IMPD,274.8393894154,proteozyme
ECOAH4_num1,101.79488081059999,proteozyme
ECOAH4_num2,210.2509481694,proteozyme
GLUTRS,71.0783235361,proteozyme
TMPPP,30.3979868269,proteozyme
URIK1,32.1649169463,proteozyme
URIK2,32.1649169463,proteozyme
CYTDK1,32.1649169463,proteozyme
CYTDK2,32.1649169463,proteozyme
XPPT,89.6572410952,proteozyme
HXPRT_num1,89.6572410952,proteozyme
HXPRT_num2,106.270716353,proteozyme
NDPK5_num1,31.151751977999997,proteozyme
