,MW,kcat,type,kcat_MW
ALATA_D2_num1,119.7058834636,9300.5069976,proteozyme,77.694652330335
ALATA_D2_num2,192.8048576124,9300.5069976,proteozyme,48.23792881970339
SHCHD2,131.9489208644,1224.0,proteozyme,9.276316865507892
CPPPGO,90.6648588169,900.0,proteozyme,9.926668521235698
GTHOr,128.834802285,25901.6161428,proteozyme,201.04518098690545
DHORD5,48.5707666885,38657.174040000005,proteozyme,795.8938405877127
GLYCTO2,181.3194156044,50485.468176,proteozyme,278.4338787311583
GLYCTO3,181.3194156044,57086.121564,proteozyme,314.8373348420097
GLYCTO4,181.3194156044,117077.842044,proteozyme,645.6994230526238
PFK_3,184.0737556186,208800.0,proteozyme,1134.3279181668497
TRPS2,189.4177352539,9309.2050944,proteozyme,49.14642803601111
G3PD5_num1,196.0337513655,60326.17992,proteozyme,307.7336402522
G3PD5_num2,149.90918835029998,60326.17992,proteozyme,402.4181611805737
LEUTAi_num1,270.1798343487,54098.622612,proteozyme,200.23190384438212
LEUTAi_num2,115.0071014388,54098.622612,proteozyme,470.3937577349352
SHK3Dr,38.8486887128,46104.63948,proteozyme,1186.7746636403017
SHK3Dr_reverse,82.4896701788,29504.424816,proteozyme,357.67417607620274
G5SD,235.7846601146,50400.0,proteozyme,213.7543637296156
ALATA_L2_num1,192.8048576124,22488.0471504,proteozyme,116.63631004364127
ALATA_L2_num2,119.7058834636,22488.0471504,proteozyme,187.86083440283144
MAN6PI,56.59512305,39462.133968,proteozyme,697.2709279761872
APRAUR,106.55547501179998,1152.0,proteozyme,10.81126990304747
DB4PS,61.68921243369999,1224.0,proteozyme,19.841394495277186
RBFK,45.8761256139,324.0,proteozyme,7.062497010467494
ACP1_FMN_num1,40.1130647057,23467.2357204,proteozyme,585.0272446788476
ACP1_FMN_num2,35.8217411514,23467.2357204,proteozyme,655.1115318827221
ACP1_FMN_num3,39.8823256626,23467.2357204,proteozyme,588.4119175729666
RBFSb,92.8961727231,108.0,proteozyme,1.1625882620796522
DMATT,42.4755313708,432.0,proteozyme,10.17056140460624
GRTT,42.4755313708,432.0,proteozyme,10.17056140460624
UPP3S,36.7147157767,3600.0,proteozyme,98.05332613482038
UPPDC1,51.8378307813,2916.0,proteozyme,56.25235385142542
TMDPP,124.6997261766,30479.0006232,proteozyme,244.41914635831336
HCO3E_num1,132.5885712283,32760.0,proteozyme,247.08011932334355
HCO3E_num2,62.7743595305,32760.0,proteozyme,521.8691237157584
IMPC,75.7188594716,17248.074814800002,proteozyme,227.79100127979697
IMPD,274.8393894154,6480.0,proteozyme,23.577406476500155
ECOAH4_num1,101.7948808106,41618.871828,proteozyme,408.8503419482975
ECOAH4_num2,210.2509481694,41618.871828,proteozyme,197.9485571426176
GLUTRS,71.0783235361,324.0,proteozyme,4.558351743277168
TMPPP,30.3979868269,72.0,proteozyme,2.368577906491007
URIK1,32.1649169463,19423.538298,proteozyme,603.8734168170868
URIK2,32.1649169463,9433.6233336,proteozyme,293.2892178565121
CYTDK1,32.1649169463,9981.4541004,proteozyme,310.32115261059886
CYTDK2,32.1649169463,9559.0893528,proteozyme,297.1899280436228
XPPT,89.6572410952,10439.9018712,proteozyme,116.4423725699376
HXPRT_num1,89.6572410952,17665.8458472,proteozyme,197.0375803605424
HXPRT_num2,106.270716353,17665.8458472,proteozyme,166.2343724918468
NDPK5_num1,31.151751978,9864.9134928,proteozyme,316.67283110647526
NDPK5_num2,81.6948289874,9864.9134928,proteozyme,120.7532179830071
DHORTS,102.5643631604,37265.833836,proteozyme,363.34095671924666
OMPDC,69.6053974865,86400.0,proteozyme,1241.2830487284743
CS,380.5013614927,104400.0,proteozyme,274.37483952866995
ICDHyr,120.8684278582,39600.0,proteozyme,327.6289822058229
ACALD_num1,44.1699510525,347838.28218,proteozyme,7874.998135419317
ACALD_num2,5078.4905262608,347838.28218,proteozyme,68.49245467355573
ACS,95.2192803528,32028.8113296,proteozyme,336.3689707686199
PPA_num1,153.5687861787,303342.672204,proteozyme,1975.288597065656
PPA_num2,35.5293220092,303342.672204,proteozyme,8537.812011314263
PPA_num3,156.1436331422,303342.672204,proteozyme,1942.7156016521396
PPCK,78.77552442550001,97061.545872,proteozyme,1232.1282096165992
ME1,333.8772821289,60940.100376,proteozyme,182.5224525233581
ALAR_num1,102.6097977516,113967.72324,proteozyme,1110.69045780497
ALAR_num2,103.4243184607,113967.72324,proteozyme,1101.94318837408
ALATA_L_num1,120.2361738231,63159.7104,proteozyme,525.2970748464189
ALATA_L_num2,122.0822182452,63159.7104,proteozyme,517.3538891072968
XYLK_num1,161.3704602124,24801.4977948,proteozyme,153.69292348894356
XYLK_num2,138.9935278145,24801.4977948,proteozyme,178.4363501291941
RBK,85.296841113,59351.153832,proteozyme,695.818896193031
GLYK,297.0723575563,45670.441968,proteozyme,153.73507768842046
PPM,58.60269801,158919.13972799998,proteozyme,2711.80585748598
ASPTA_num1,115.1010083991,13921.6490172,proteozyme,120.95158166580283
ASPTA_num2,115.0071014388,13921.6490172,proteozyme,121.05034248348812
FBP_num1,90.6669720537,274394.256768,proteozyme,3026.397050135108
FBP_num2,194.5970144961,274394.256768,proteozyme,1410.0640622803553
FBP_num3,94.7054996558,274394.256768,proteozyme,2897.342369400565
FBP_num4,39.2548264103,274394.256768,proteozyme,6990.076937291007
GLGC,257.2741651338,18829.6156188,proteozyme,73.18890961712896
PYK_num1,271.3245483078,427444.77816,proteozyme,1575.400312378266
PYK_num2,268.0082193821,427444.77816,proteozyme,1594.8942877404477
A5PISO_num1,185.9441022639,55549.16712,proteozyme,298.7412154711
A5PISO_num2,179.79114916609998,55549.16712,proteozyme,308.96497062088923
IPPMIb,95.5834174689,23255.0945712,proteozyme,243.29632887175765
ACHBS_num1,188.9929746571,67064.871564,proteozyme,354.853780600466
ACHBS_num2,213.8624698606,67064.871564,proteozyme,313.588782584033
ACLS_num1,213.8624698606,241177.320468,proteozyme,1127.7215709011705
ACLS_num2,188.9929746571,241177.320468,proteozyme,1276.117913406997
PSCVT,60.8820880534,75600.0,proteozyme,1241.7445330339335
ANS,302.0988233624,17526.9833028,proteozyme,58.0173835426512
ANPRT,150.2245889427,18000.0,proteozyme,119.82059745802148
CHORM_num1,113.8806141471,123098.130864,proteozyme,1080.94017393508
CHORM_num2,111.057197705,123098.130864,proteozyme,1108.4210065428103
CHORS,206.7667489954,151200.0,proteozyme,731.2587770259123
IGPS,65.3680935479,18000.0,proteozyme,275.36369845037746
ECOAH6_num1,101.7948808106,36593.980488,proteozyme,359.4874339121917
ECOAH6_num2,210.2509481694,36593.980488,proteozyme,174.04906282998584
ENO,120.5996505527,86400.0,proteozyme,716.4199863269477
FBA_num1,103.4092616485,37445.931792,proteozyme,362.1139073527382
FBA_num2,503.3358920387,37445.931792,proteozyme,74.39551278636193
MGSA,134.0736483895,10091.6424504,proteozyme,75.26939537799831
PPS,230.9638386646,370888.94268,proteozyme,1605.831219399656
PGI,162.5336649935,255600.0,proteozyme,1572.597283216507
PGK,54.3078083686,81612.68644800001,proteozyme,1502.7799666315996
EDA,88.29644867329999,44337.531384,proteozyme,502.1439939000315
PGL,47.9540977748,662400.0,proteozyme,13813.20952196275
RPE,32.4305243966,198533.187612,proteozyme,6121.800103633666
TALA_num1,93.0332689605,49937.715972,proteozyme,536.7726677776153
TALA_num2,47.0971802524,49937.715972,proteozyme,1060.3122247314425
TKT1_num1,190.7506593655,182904.1236,proteozyme,958.8649612452182
TKT1_num2,96.4728260071,182904.1236,proteozyme,1895.9134003863328
G6PDA,235.9497567396,151224.255216,proteozyme,640.9171906156904
ALCD2x_num1,5078.4905262608,65388.128904000005,proteozyme,12.87550475202798
ALCD2x_num2,186.9135496459,65388.128904000005,proteozyme,349.830865808686
ALDD2y_num1,38.8441980846,22093.1682012,proteozyme,568.7636581680124
ALDD2y_num2,111.201161962,22093.1682012,proteozyme,198.67749411422287
ALDD2y_num3,297.4716272342,22093.1682012,proteozyme,74.26983341778005
ALDD2y_num4,41.588500224,22093.1682012,proteozyme,531.2326263799822
ALDD2y_num5,48.2105918914,22093.1682012,proteozyme,458.2637825929921
RMI,249.3590366994,34888.9751748,proteozyme,139.9146212489517
FMNAT,45.8761256139,324.0,proteozyme,7.062497010467494
NADDP_num1,78.4247271167,10638.0054396,proteozyme,135.64606254568287
NADDP_num2,97.2169495153,10638.0054396,proteozyme,109.42541905129198
NMNAT_num1,250.1323492909,9306.7156656,proteozyme,37.20716529462742
NMNAT_num2,32.395920143999994,9306.7156656,proteozyme,287.2804854509954
HMPK1_num1,151.2739430912,15927.764814,proteozyme,105.29086826537912
HMPK1_num2,81.4848260804,15927.764814,proteozyme,195.46909013813547
NDPK6_num1,31.151751978,9855.5755464,proteozyme,316.37307440558106
NDPK6_num2,81.6948289874,9855.5755464,proteozyme,120.63891519890508
NDPK8_num1,31.151751978,15171.8703768,proteozyme,487.0310468417534
NDPK8_num2,81.6948289874,15171.8703768,proteozyme,185.71396213021015
PYNP2r,215.2259038285,44972.730108,proteozyme,208.9559356379144
DURIPP_num1,124.6997261766,31920.232392,proteozyme,255.97676410928528
DURIPP_num2,205.6436957135,31920.232392,proteozyme,155.22105981051243
PTRCTA,131.1827404471,36125.794296,proteozyme,275.3852692273027
CYSDS_num1,228.2949526635,13182.3780156,proteozyme,57.74274841297273
CYSDS_num2,278.8069915074,13182.3780156,proteozyme,47.28137534976455
TRPAS2,278.8069915074,23909.431644,proteozyme,85.7562126212513
NDP3_num1,23.0249036317,34101.470469600004,proteozyme,1481.0689770987844
NDP3_num2,46.6928916371,34101.470469600004,proteozyme,730.335373843169
CDPPH,46.6928916371,28855.364306400003,proteozyme,617.9819517425833
NDP7,46.6928916371,33721.6093776,proteozyme,722.2000650481534
PMDPHT_num1,39.8823256626,9471.6204372,proteozyme,237.4891704493075
PMDPHT_num2,35.8217411514,9471.6204372,proteozyme,264.4098285778001
ILETA,270.1798343487,22229.6857848,proteozyme,82.2773684734364
VALTA,270.1798343487,9473.113026,proteozyme,35.06225047785688
ORPT,62.253314582,11843.9159184,proteozyme,190.253579233909
RBFSa,1280.3449309338,36.0,proteozyme,0.0281174229929929
DHAD2,173.1046037763,500400.0,proteozyme,2890.73767585441
G1PP_num1,30.0235476814,9921.6603216,proteozyme,330.4626231012202
G1PP_num2,30.3876847975,9921.6603216,proteozyme,326.5026732940266
G1PP_num3,39.2548264103,9921.6603216,proteozyme,252.75007505820165
PFL_num1,156.3655230062,66265.409376,proteozyme,423.78529551794185
PFL_num2,262.7264481551,66265.409376,proteozyme,252.22207296343592
PFL_num3,150.75276606539998,66265.409376,proteozyme,439.56347273424194
PFL_num4,281.5926338417,66265.409376,proteozyme,235.3236605374121
FRD2,160.09961243179998,39705.414012,proteozyme,248.0044355442391
FRD3,160.09961243179998,40135.545684,proteozyme,250.6910858456771
POX,327.6117991715,11451.8452104,proteozyme,34.95553346784413
PTAr_num1,611.5608241225,547821.76428,proteozyme,895.7764177684924
PTAr_num2,95.2719791955,547821.76428,proteozyme,5750.082751570206
ACKr_num1,56.0452852501,168823.251792,proteozyme,3012.265011028716
ACKr_num2,57.1767914792,168823.251792,proteozyme,2952.653470480504
ACKr_num3,57.30054790929999,168823.251792,proteozyme,2946.2763961564083
MOAT,62.4608080203,212400.0,proteozyme,3400.5323775345523
UDCPDPS,75.1365306559,504.00000000000006,proteozyme,6.7077890820931065
USHD,35.5211332166,20475.11943,proteozyme,576.420783231978
LPADSS,111.9551912677,187200.0,proteozyme,1672.097540813266
TDSK,47.0053865289,26884.7143848,proteozyme,571.9496502442472
NTPP1_num1,19.7153106483,29218.073666400003,proteozyme,1481.999152213176
NTPP1_num2,80.3354894158,29218.073666400003,proteozyme,363.7006991414872
NTPP2_num1,19.7153106483,10172.328768,proteozyme,515.9608666311901
NTPP2_num2,80.3354894158,10172.328768,proteozyme,126.62310072389197
NTPTP1,470.5882500448,28199.9018844,proteozyme,59.92478962599548
NTPTP2,470.5882500448,58754.90664,proteozyme,124.854172696421
IPMD_num1,104.385973282,17640.0,proteozyme,168.98822174455682
IPMD_num2,53.2468314177,17640.0,proteozyme,331.28731851894224
AIRC3,187.8701855298,11996.2297404,proteozyme,63.853823886798445
ADSL2r,272.3053543376,54000.0,proteozyme,198.30678736141056
PUNP5_num1,236.4285369521,18776.875842,proteozyme,79.41882178886115
PUNP5_num2,205.6436957135,18776.875842,proteozyme,91.30781168297857
PUNP6_num1,205.6436957135,19606.6029096,proteozyme,95.34259166843438
PUNP6_num2,236.4285369521,19606.6029096,proteozyme,82.92824192188044
PUNP7,236.4285369521,19138.3918956,proteozyme,80.94789293340423
RNDR1_num1,362.0765781427,9882.9052704,proteozyme,27.2950692394828
RNDR1_num2,357.1260567841,9882.9052704,proteozyme,27.67343654337352
RNDR3_num1,357.1260567841,12566.4747876,proteozyme,35.1877846740179
RNDR3_num2,362.0765781427,12566.4747876,proteozyme,34.70667683632206
RNDR4_num1,357.1260567841,10859.4863892,proteozyme,30.407992312263808
RNDR4_num2,362.0765781427,10859.4863892,proteozyme,29.992236573005037
TMDS,80.5135296162,26640.0,proteozyme,330.8760667553669
TMDK1,30.9808439518,9983.4833304,proteozyme,322.24697771088177
PPCDC,688.4630962021,540.0,proteozyme,0.7843557671847696
FTHFD,253.0710692159,11273.5449468,proteozyme,44.54695268696365
EDD,85.373445947,48328.786944,proteozyme,566.086871718902
DHQTi,72.5544194409,212400.0,proteozyme,2927.4577846083207
PUNP1,205.6436957135,17754.490677600003,proteozyme,86.33617780500948
PUNP2,205.6436957135,16381.1871504,proteozyme,79.65810521720076
PUNP3_num1,236.4285369521,16041.2979096,proteozyme,67.84839984375465
PUNP3_num2,205.6436957135,16041.2979096,proteozyme,78.00529869852426
LYSAM,51.1794254408,26321.8049928,proteozyme,514.3044253837281
DHAD1,173.1046037763,1512000.0,proteozyme,8734.603049344261
IPPMIa,95.5834174689,11963.9428812,proteozyme,125.16755728149928
G3PD7,196.0337513655,97058.715588,proteozyme,495.11226975928486
NADH9_num1,53.27998282,10293.4264572,proteozyme,193.1950033087492
NADH9_num2,62.5500922751,10293.4264572,proteozyme,164.56293001021868
NADH9_num3,110.1289584406,10293.4264572,proteozyme,93.46702813640012
NADH9_num4,53.8229526003,10293.4264572,proteozyme,191.24603835172408
NADH10_num1,53.27998282,21675.0415536,proteozyme,406.81397414910055
NADH10_num2,62.5500922751,21675.0415536,proteozyme,346.5229349026624
NADH10_num3,53.8229526003,21675.0415536,proteozyme,402.7100057955421
NADH10_num4,110.1289584406,21675.0415536,proteozyme,196.81509623366517
MDH,85.42046546579999,25920.0,proteozyme,303.44016341584626
FUM_num1,158.7709147938,104334.9147,proteozyme,657.141232923565
FUM_num2,159.2815256356,104334.9147,proteozyme,655.0346267946644
FUM_num3,266.7373716015,104334.9147,proteozyme,391.152218654513
PYDXNK,81.4848260804,9300.850736400002,proteozyme,114.1421192606213
PYAM5PO,67.47868880189999,9300.8461428,proteozyme,137.83383032389503
OHPBAT,105.0894169818,3.6,proteozyme,0.0342565417469531
GLUTRR,122.3215423128,9680.9819904,proteozyme,79.14372078177239
GLCS1,69.7663997152,12943.083978,proteozyme,185.52030821192125
GLCP_num1,246.1195767623,26911.7995104,proteozyme,109.34440837427232
GLCP_num2,239.1190836304,26911.7995104,proteozyme,112.5455948635068
HEMEOS,42.5929480905,10296.682596,proteozyme,241.74618235211076
ADMDC,40.1311592958,99039.6036,proteozyme,2467.897896245553
AGMT,88.6424911993,34948.0972368,proteozyme,394.2589695299085
ARGDC,1115.0657751052,10396.287288,proteozyme,9.323474471287732
ARGSS,263.6178378528,10080.0,proteozyme,38.23716969269929
AGPR,47.4845629733,27140.712948,proteozyme,571.5691847740264
SPMS,85.37846488439999,20729.7816624,proteozyme,242.79871616885512
G1SAT,119.8366399906,324.0,proteozyme,2.703680610749889
KDOCT2,36.4723539312,15120.0,proteozyme,414.5605745250709
OAADC,88.29644867329999,17454.5641656,proteozyme,197.68138388195555
MNNH,59.220819774,54841.495428,proteozyme,926.0509333928088
ALTRH,71.44470596629999,69858.52128,proteozyme,977.7984293609076
GUI1,71.3048361056,86159.1663,proteozyme,1208.3214969094277
PGAMT,62.7943032028,36035.473896,proteozyme,573.8653358350057
UAGDP,194.9067357646,57600.0,proteozyme,295.5259589877223
UAGCVT,59.1938760048,11880.0,proteozyme,200.69643689216528
GLUR,40.946604546,88419.509928,proteozyme,2159.385641577881
UAG2E,111.5910541516,57209.157144,proteozyme,512.6679515571162
MACPD,112.5649921618,17858.856078,proteozyme,158.6537318132606
DMQMT,70.1474427257,22755.6714168,proteozyme,324.39773329702547
ICHORS_copy1,56.7028981268,50074.224624,proteozyme,883.0981533258346
HACD5_num1,210.2509481694,40209.199668,proteozyme,191.2438446441787
HACD5_num2,101.7948808106,40209.199668,proteozyme,395.0021783788264
HPPK2,23.8779909124,576.0,proteozyme,24.12263251599109
PTPATi,141.3488623054,1980.0,proteozyme,14.007894847586316
HEX7,42.9248583454,31530.9585312,proteozyme,734.5617375713247
DXPRIi,114.611397848,11880.0,proteozyme,103.6546122206406
OPHBDC,440.6395901925,9504.9789516,proteozyme,21.57086917098758
OHPHM,70.1474427257,24071.539068,proteozyme,343.1563309032916
GHMT2r,119.7058834636,11520.0,proteozyme,96.2358713429736
DHORD2,48.5707666885,72000.0,proteozyme,1482.3731414774495
ADK4,31.151751978,9420.7383576,proteozyme,302.41439917257674
INSK,127.9797338448,38426.539932,proteozyme,300.2548823753576
ABTA_num1,120.9158436089,33853.97349,proteozyme,279.9796327725259
ABTA_num2,59.0769875943,33853.97349,proteozyme,573.0484046086732
SSALx,131.33198779609998,21752.9700192,proteozyme,165.63344836425276
ASPT,276.6022251385,20574.122238,proteozyme,74.38162230147695
SERD_L_num1,278.8069915074,78829.072704,proteozyme,282.73707297583223
SERD_L_num2,64.5945168018,78829.072704,proteozyme,1220.3678672274448
SERD_L_num3,128.1721704709,78829.072704,proteozyme,615.0248717360781
SERD_L_num4,64.3915139917,78829.072704,proteozyme,1224.2152392031192
SERD_L_num5,186.1360105808,78829.072704,proteozyme,423.5025369783619
THRD_num1,196.7373271426,74588.90950800001,proteozyme,379.1294239447309
THRD_num2,53.2949075549,74588.90950800001,proteozyme,1399.5504060339103
KARA1,285.6516334253,15966.4598028,proteozyme,55.89486610436396
KARA2,285.6516334253,2700.0,proteozyme,9.452072678961486
ACCOAC,333.4365401788,28564.8864444,proteozyme,85.6681347193758
