Sequence Length,Efficiency factor,kcat_MW,Flux
79,1.0,5620.13,10.0
79,0.5,2810.07,10.0
79,0.1,562.01,10.0
79,0.05,281.01,10.000000000000002
79,0.01,56.2,2.8992879017157085
79,0.005,28.1,1.4496439508578542
79,0.001,5.62,0.2899287901715707
79,0.0005,2.81,0.14496439508578526
79,0.0001,0.56,0.028992879017157032
79,5e-05,0.28,0.01449643950857853
79,1e-05,0.06,0.002899287901715698
115,1.0,3812.45,10.0
115,0.5,1906.23,10.0
115,0.1,381.25,10.0
115,0.05,190.62,9.833753865189639
115,0.01,38.12,1.9667507730379306
115,0.005,19.06,0.9833753865189656
115,0.001,3.81,0.19667507730379297
115,0.0005,1.91,0.0983375386518966
115,0.0001,0.38,0.019667507730379303
115,5e-05,0.19,0.009833753865189646
115,1e-05,0.04,0.0019667507730379255
377,1.0,1134.87,10.0
377,0.5,567.43,10.0
377,0.1,113.49,5.85449172596925
377,0.05,56.74,2.927245862984626
377,0.01,11.35,0.5854491725969253
377,0.005,5.67,0.29272458629846243
377,0.001,1.13,0.05854491725969252
377,0.0005,0.57,0.02927245862984626
377,0.0001,0.11,0.005854491725969245
377,5e-05,0.06,0.002927245862984621
377,1e-05,0.01,0.0005854491725969178
754,1.0,567.46,10.0
754,0.5,283.73,10.000000000000002
754,0.1,56.75,2.9273915378493887
754,0.05,28.37,1.4636957689246943
754,0.01,5.67,0.2927391537849388
754,0.005,2.84,0.14636957689246927
754,0.001,0.57,0.029273915378493883
754,0.0005,0.28,0.014636957689246905
754,0.0001,0.06,0.0029273915378493854
754,5e-05,0.03,0.0014636957689246914
754,1e-05,0.01,0.0002927391537849308
