,fluxes,reduced_costs
GLCpts_num1,10.0,-2.0
PGI,10.0,-2.0
PFK_num1,6.666666666666667,-2.0
FBA_num1,6.666666666666667,-2.0
G6PDH2r,0.0,2.0
PGL,0.0,2.0
GND,0.0,-2.0
RPE_num1,0.0,2.0
RPI_num1,0.0,2.0
TKT1_num1,3.333333333333333,-2.0
TALA_num1,3.333333333333333,-2.0
TKT2_num1,0.0,2.0
EX_glc__D_e,0.0,2.0
EX_glc__D_c,0.0,2.0
SK_f6p_c,0.0,10.0
DM_e4p_c,10.0,-2.0
EX_pyr_c,10.0,-2.0
EX_pep_c,0.0,2.0
EX_adp_c,6.666666666666667,-2.0
EX_atp_c,0.0,2.0
EX_h_c,6.666666666666667,-2.0
EX_h2o_c,0.0,0.0
EX_co2_c,0.0,0.0
EX_nadph_c,0.0,0.0
EX_nadp_c,0.0,0.0
EX_dhap_c,6.666666666666667,-2.0
PGI_reverse,0.0,2.0
FBA_reverse_num1,0.0,2.0
G6PDH2r_reverse,0.0,-2.0
RPE_reverse_num1,3.333333333333333,-2.0
RPI_reverse_num1,3.333333333333333,-2.0
TKT1_reverse_num1,0.0,2.0
TALA_reverse_num1,0.0,2.0
TKT2_reverse_num1,6.666666666666666,-2.0
EX_glc__D_e_reverse,10.0,-2.0
EX_glc__D_c_reverse,0.0,-2.0
EX_pyr_c_reverse,0.0,2.0
EX_pep_c_reverse,10.0,-2.0
EX_adp_c_reverse,0.0,2.0
EX_atp_c_reverse,6.666666666666667,-2.0
EX_h_c_reverse,0.0,2.0
EX_h2o_c_reverse,0.0,0.0
EX_co2_c_reverse,0.0,0.0
EX_nadph_c_reverse,0.0,0.0
EX_nadp_c_reverse,0.0,0.0
EX_dhap_c_reverse,0.0,2.0
GLCpts_num2,0.0,-2.0
GLCpts_num3,0.0,-2.0
PFK_num2,0.0,-2.0
FBA_num2,0.0,-2.0
FBA_num3,0.0,-2.0
RPE_num2,0.0,2.0
RPI_num2,0.0,2.0
TKT1_num2,0.0,-2.0
TALA_num2,0.0,-2.0
TKT2_num2,0.0,2.0
FBA_reverse_num2,0.0,2.0
FBA_reverse_num3,0.0,2.0
RPE_reverse_num2,0.0,-2.0
RPI_reverse_num2,0.0,-2.0
TKT1_reverse_num2,0.0,2.0
TALA_reverse_num2,0.0,2.0
TKT2_reverse_num2,0.0,-2.0
