,type,kcat_mw,flux,enz useage,enz ratio
FBA_num1,ribozyme,102.44707856513166,6.666666666666667,0.06507424867589828,0.28667069901276776
TALA_num1,ribozyme,136.62293516861286,3.333333333333333,0.02439805095110501,0.10748040066566084
TKT2_reverse_num1,ribozyme,409.8515728942075,6.666666666666666,0.016266051194068473,0.07165661318972895
PGI,ribozyme,699.2875334682407,10.0,0.014300269233176838,0.06299678076289356
RPI_reverse_num1,ribozyme,234.1715616866966,3.333333333333333,0.014234577885221924,0.06270739156485429
TKT1_num1,ribozyme,500.4013045908224,3.333333333333333,0.006661320229888281,0.029345023039155423
PFK_num1,ribozyme,2738.0554127348014,6.666666666666667,0.002434818022915001,0.010726070585528638
FBA_reverse_num1,ribozyme,93.91227238721544,0.0,0.0,0.0
TKT2_reverse_num2,ribozyme,409.8515728942075,0.0,0.0,0.0
G6PDH2r_reverse,ribozyme,76.17778996279314,0.0,0.0,0.0
TKT1_reverse_num2,ribozyme,59.55681623989998,0.0,0.0,0.0
TKT1_reverse_num1,ribozyme,59.55681623989998,0.0,0.0,0.0
TALA_reverse_num2,ribozyme,46.531316446405405,0.0,0.0,0.0
TALA_reverse_num1,ribozyme,46.531316446405405,0.0,0.0,0.0
PGI_reverse,ribozyme,884.9508337172995,0.0,0.0,0.0
FBA_reverse_num2,ribozyme,93.91227238721544,0.0,0.0,0.0
RPI_num1,ribozyme,194.2530558898044,0.0,0.0,0.0
RPI_num2,ribozyme,194.2530558898044,0.0,0.0,0.0
FBA_num2,ribozyme,102.44707856513166,0.0,0.0,0.0
PFK_num2,ribozyme,2738.0554127348014,0.0,0.0,0.0
TKT2_num2,ribozyme,886.6000860305328,0.0,0.0,0.0
TKT2_num1,ribozyme,886.6000860305328,0.0,0.0,0.0
G6PDH2r,ribozyme,1526.613629402497,0.0,0.0,0.0
GND,ribozyme,216.6806441732577,0.0,0.0,0.0
TKT1_num2,ribozyme,500.4013045908224,0.0,0.0,0.0
TALA_num2,ribozyme,136.62293516861286,0.0,0.0,0.0
PGL,ribozyme,1812.2381149036096,0.0,0.0,0.0
RPI_reverse_num2,ribozyme,234.1715616866966,0.0,0.0,0.0
