id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,notes,objective_coefficient
GLCpts_num1,Glucose Phosphate Translocator,"OrderedDict([('g6p_c', 1.0), ('glc__D_e', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2417 and b1101 and b2415 and b2416,,
PGI,Glucose-6-phosphate Isomerase,"OrderedDict([('f6p_c', 1.0), ('g6p_c', -1.0)])",0.0,1000.0,b4025,"OrderedDict([('reflection', 'PGI_reverse')])",
PFK_num1,Phosphofructokinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('f6p_c', -1.0), ('fdp_c', 1.0), ('h_c', 1.0)])",0.0,1000.0,b3916,,
FBA_num1,Fructose-bisphosphate Aldolase,"OrderedDict([('dhap_c', 1.0), ('fdp_c', -1.0), ('g3p_c', 1.0)])",0.0,1000.0,b2097,"OrderedDict([('reflection', 'FBA_reverse')])",
G6PDH2r,Glucose-6-phosphate Dehydrogenase,"OrderedDict([('6pgc_c', -1.0), ('6pgl_c', 1.0), ('h_c', 1.0), ('nadp_c', -1.0), ('nadph_c', 1.0)])",0.0,1000.0,b1852,"OrderedDict([('reflection', 'G6PDH2r_reverse')])",
PGL,6-phosphogluconolactonase,"OrderedDict([('6pgc_c', 1.0), ('6pgl_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b0767,,
GND,6-phosphogluconate Dehydrogenase,"OrderedDict([('6pgc_c', -1.0), ('co2_c', 1.0), ('nadp_c', -1.0), ('nadph_c', 1.0), ('ru5p__D_c', 1.0)])",0.0,1000.0,b2029,,
RPE_num1,Ribulose-5-phosphate-3-epimerase,"OrderedDict([('ru5p__D_c', -1.0), ('xu5p__D_c', 1.0)])",0.0,1000.0,b3386,"OrderedDict([('reflection', 'RPE_reverse')])",
RPI_num1,Ribose-5-phosphate isomerase,"OrderedDict([('r5p_c', -1.0), ('ru5p__D_c', 1.0)])",0.0,1000.0,b2914,"OrderedDict([('reflection', 'RPI_reverse')])",
TKT1_num1,Transketolase,"OrderedDict([('g3p_c', 1.0), ('r5p_c', -1.0), ('s7p_c', 1.0), ('xu5p__D_c', -1.0)])",0.0,1000.0,b2935,"OrderedDict([('reflection', 'TKT1_reverse')])",
TALA_num1,Transaldolase,"OrderedDict([('e4p_c', 1.0), ('f6p_c', 1.0), ('g3p_c', -1.0), ('s7p_c', -1.0)])",0.0,1000.0,b2464,"OrderedDict([('reflection', 'TALA_reverse')])",
TKT2_num1,Transketolase,"OrderedDict([('e4p_c', -1.0), ('f6p_c', 1.0), ('g3p_c', 1.0), ('xu5p__D_c', -1.0)])",0.0,1000.0,b2935,"OrderedDict([('reflection', 'TKT2_reverse')])",
EX_glc__D_e,Glucose Exchange,"OrderedDict([('glc__D_e', -1.0)])",0.0,1000.0,,"OrderedDict([('reflection', 'EX_glc__D_e_reverse')])",
