,MW
FBA_num1,78.2945
FBA_num2,381.0919
PGI,123.0595
PGL,36.3076
RPE,24.5542
TALA_num1,70.4385
TALA_num2,35.6588
TKT1_num1,144.4235
TKT1_num2,73.0427
GND,102.9626
G6PDH2r,55.7044
TKT2_num1,144.4235
TKT2_num2,73.0427
GLCptspp_num1,255.8472
GLCptspp_num2,211.1211
GLCptspp_num3,295.8849
PFK_num1,139.3682
PFK_num2,64.912
RPI_num1,45.7208
RPI_num2,32.1466
FBA_reverse_num1,78.2945
FBA_reverse_num2,381.0919
PGI_reverse,123.0595
RPE_reverse,24.5542
TALA_reverse_num1,70.4385
TALA_reverse_num2,35.6588
TKT1_reverse_num1,144.4235
TKT1_reverse_num2,73.0427
G6PDH2r_reverse,55.7044
TKT2_reverse_num1,144.4235
TKT2_reverse_num2,73.0427
RPI_reverse_num1,45.7208
RPI_reverse_num2,32.1466
