Reaction,Flux,Glucose_Uptake,Yield
EX_ala__L_e,19.859622641509414,10,1.99
EX_arg__L_e,8.274285714285707,10,0.83
EX_asn__L_e,15.935353535353544,10,1.59
EX_asp__L_e,17.975172413793107,10,1.8
EX_cys__L_e,9.839501039501032,10,0.98
EX_gln__L_e,0.0,10,0.0
EX_glu__L_e,11.814927835051554,10,1.18
EX_gly_e,27.012173913043448,10,2.7
EX_his__L_e,8.062691652470185,10,0.81
EX_ile__L_e,7.240000000000003,10,0.72
EX_leu__L_e,7.513617021276594,10,0.75
EX_lys__L_e,7.72266666666666,10,0.77
EX_met__L_e,5.909447415329783,10,0.59
EX_phe__L_e,5.427522935779811,10,0.54
EX_pro__L_e,10.019104477611943,10,1.0
EX_ser__L_e,20.625882352941186,10,2.06
EX_thr__L_e,12.325,10,1.23
EX_trp__L_e,4.464905660377359,10,0.45
EX_tyr__L_e,5.635459459459466,10,0.56
EX_val__L_e,9.929811320754721,10,0.99
