,MW,type
ALATA_D2_num1,90.6332,proteozyme
ALATA_D2_num2,145.9788,proteozyme
SHCHD2,99.9028,proteozyme
CPPPGO,68.6453,proteozyme
GTHOr,97.545,proteozyme
DHORD5,36.7745,proteozyme
GLYCTO2,137.2828,proteozyme
GLYCTO3,137.2828,proteozyme
GLYCTO4,137.2828,proteozyme
PFK_3,139.3682,proteozyme
TRPS2,143.4143,proteozyme
G3PD5_num1,148.4235,proteozyme
G3PD5_num2,113.5011,proteozyme
LEUTAi_num1,204.5619,proteozyme
LEUTAi_num2,87.0756,proteozyme
SHK3Dr,29.4136,proteozyme
SHK3Dr_reverse,62.4556,proteozyme
G5SD,178.5202,proteozyme
ALATA_L2_num1,145.9788,proteozyme
ALATA_L2_num2,90.6332,proteozyme
MAN6PI,42.85,proteozyme
APRAUR,80.6766,proteozyme
DB4PS,46.7069,proteozyme
RBFK,34.7343,proteozyme
ACP1_FMN_num1,30.3709,proteozyme
ACP1_FMN_num2,27.1218,proteozyme
ACP1_FMN_num3,30.1962,proteozyme
RBFSb,70.3347,proteozyme
DMATT,32.1596,proteozyme
GRTT,32.1596,proteozyme
UPP3S,27.7979,proteozyme
UPPDC1,39.2481,proteozyme
TMDPP,94.4142,proteozyme
HCO3E_num1,100.3871,proteozyme
HCO3E_num2,47.5285,proteozyme
IMPC,57.3292,proteozyme
IMPD,208.0898,proteozyme
ECOAH4_num1,77.0722,proteozyme
ECOAH4_num2,159.1878,proteozyme
GLUTRS,53.8157,proteozyme
TMPPP,23.0153,proteozyme
URIK1,24.3531,proteozyme
URIK2,24.3531,proteozyme
CYTDK1,24.3531,proteozyme
CYTDK2,24.3531,proteozyme
XPPT,67.8824,proteozyme
HXPRT_num1,67.8824,proteozyme
HXPRT_num2,80.461,proteozyme
NDPK5_num1,23.586,proteozyme
NDPK5_num2,61.8538,proteozyme
DHORTS,77.6548,proteozyme
OMPDC,52.7005,proteozyme
CS,288.0899,proteozyme
ICDHyr,91.5134,proteozyme
ACALD_num1,33.4425,proteozyme
ACALD_num2,3845.0896,proteozyme
ACS,72.0936,proteozyme
PPA_num1,116.2719,proteozyme
PPA_num2,26.9004,proteozyme
PPA_num3,118.2214,proteozyme
PPCK,59.6435,proteozyme
ME1,252.7893,proteozyme
ALAR_num1,77.6892,proteozyme
ALAR_num2,78.3059,proteozyme
ALATA_L_num1,91.0347,proteozyme
ALATA_L_num2,92.4324,proteozyme
XYLK_num1,122.1788,proteozyme
XYLK_num2,105.2365,proteozyme
RBK,64.581,proteozyme
GLYK,224.9231,proteozyme
PPM,44.37,proteozyme
ASPTA_num1,87.1467,proteozyme
ASPTA_num2,87.0756,proteozyme
FBP_num1,68.6469,proteozyme
FBP_num2,147.3357,proteozyme
FBP_num3,71.7046,proteozyme
FBP_num4,29.7211,proteozyme
GLGC,194.7906,proteozyme
PYK_num1,205.4286,proteozyme
PYK_num2,202.9177,proteozyme
A5PISO_num1,140.7843,proteozyme
A5PISO_num2,136.1257,proteozyme
IPPMIb,72.3693,proteozyme
ACHBS_num1,143.0927,proteozyme
ACHBS_num2,161.9222,proteozyme
ACLS_num1,161.9222,proteozyme
ACLS_num2,143.0927,proteozyme
PSCVT,46.0958,proteozyme
ANS,228.7288,proteozyme
ANPRT,113.7399,proteozyme
CHORM_num1,86.2227,proteozyme
CHORM_num2,84.085,proteozyme
CHORS,156.5498,proteozyme
IGPS,49.4923,proteozyme
ECOAH6_num1,77.0722,proteozyme
ECOAH6_num2,159.1878,proteozyme
ENO,91.3099,proteozyme
FBA_num1,78.2945,proteozyme
FBA_num2,381.0919,proteozyme
MGSA,101.5115,proteozyme
PPS,174.8702,proteozyme
PGI,123.0595,proteozyme
PGK,41.1182,proteozyme
EDA,66.8521,proteozyme
PGL,36.3076,proteozyme
RPE,24.5542,proteozyme
TALA_num1,70.4385,proteozyme
TALA_num2,35.6588,proteozyme
TKT1_num1,144.4235,proteozyme
TKT1_num2,73.0427,proteozyme
G6PDA,178.6452,proteozyme
ALCD2x_num1,3845.0896,proteozyme
ALCD2x_num2,141.5183,proteozyme
ALDD2y_num1,29.4102,proteozyme
ALDD2y_num2,84.194,proteozyme
ALDD2y_num3,225.2254,proteozyme
ALDD2y_num4,31.488,proteozyme
ALDD2y_num5,36.5018,proteozyme
